subject_index,truth,model_prediction,other_prediction,model_correct,other_correct,relation
0,0,0,0,True,True,both_correct
1,0,0,0,True,True,both_correct
2,0,0,0,True,True,both_correct
3,0,0,0,True,True,both_correct
4,0,0,0,True,True,both_correct
5,0,0,0,True,True,both_correct
6,0,0,0,True,True,both_correct
7,0,2,2,False,False,both_wrong
8,0,0,0,True,True,both_correct
9,0,0,0,True,True,both_correct
10,0,0,0,True,True,both_correct
11,0,0,0,True,True,both_correct
12,0,0,0,True,True,both_correct
13,0,0,0,True,True,both_correct
14,0,0,0,True,True,both_correct
15,0,0,0,True,True,both_correct
16,0,0,0,True,True,both_correct
17,0,0,2,True,False,model_only_correct
18,0,2,0,False,True,other_only_correct
19,0,0,0,True,True,both_correct
20,0,0,0,True,True,both_correct
21,0,0,0,True,True,both_correct
22,0,2,2,False,False,both_wrong
23,0,0,0,True,True,both_correct
24,0,0,0,True,True,both_correct
25,0,0,0,True,True,both_correct
26,0,0,0,True,True,both_correct
27,0,0,0,True,True,both_correct
28,0,0,0,True,True,both_correct
29,0,0,0,True,True,both_correct
30,0,0,0,True,True,both_correct
31,0,0,0,True,True,both_correct
32,0,0,0,True,True,both_correct
33,0,2,0,False,True,other_only_correct
34,0,0,0,True,True,both_correct
35,0,0,0,True,True,both_correct
36,0,0,0,True,True,both_correct
37,0,0,0,True,True,both_correct
38,0,0,0,True,True,both_correct
39,0,0,0,True,True,both_correct
40,0,0,0,True,True,both_correct
41,0,0,0,True,True,both_correct
42,0,0,0,True,True,both_correct
43,0,0,2,True,False,model_only_correct
44,0,0,0,True,True,both_correct
45,0,2,2,False,False,both_wrong
46,0,0,0,True,True,both_correct
47,0,0,2,True,False,model_only_correct
48,0,0,0,True,True,both_correct
49,0,0,2,True,False,model_only_correct
50,0,0,0,True,True,both_correct
51,0,0,0,True,True,both_correct
52,0,0,0,True,True,both_correct
53,0,2,0,False,True,other_only_correct
54,0,0,0,True,True,both_correct
55,0,0,0,True,True,both_correct
56,0,0,0,True,True,both_correct
57,0,2,2,False,False,both_wrong
58,0,2,0,False,True,other_only_correct
59,0,0,0,True,True,both_correct
60,0,0,0,True,True,both_correct
61,0,0,0,True,True,both_correct
62,0,0,0,True,True,both_correct
63,0,0,2,True,False,model_only_correct
64,0,0,0,True,True,both_correct
65,0,0,0,True,True,both_correct
66,0,0,0,True,True,both_correct
67,0,0,0,True,True,both_correct
68,0,0,2,True,False,model_only_correct
69,0,0,0,True,True,both_correct
70,0,0,0,True,True,both_correct
71,0,0,0,True,True,both_correct
72,1,1,1,True,True,both_correct
73,1,1,1,True,True,both_correct
74,1,1,1,True,True,both_correct
75,1,1,1,True,True,both_correct
76,1,1,1,True,True,both_correct
77,1,1,1,True,True,both_correct
78,1,1,1,True,True,both_correct
79,1,1,1,True,True,both_correct
80,1,1,1,True,True,both_correct
81,1,1,1,True,True,both_correct
82,1,1,1,True,True,both_correct
83,1,1,1,True,True,both_correct
84,1,1,1,True,True,both_correct
85,1,1,1,True,True,both_correct
86,1,1,1,True,True,both_correct
87,1,1,1,True,True,both_correct
88,1,1,1,True,True,both_correct
89,1,1,2,True,False,model_only_correct
90,1,1,1,True,True,both_correct
91,1,1,1,True,True,both_correct
92,1,1,1,True,True,both_correct
93,1,1,1,True,True,both_correct
94,1,1,1,True,True,both_correct
95,1,1,1,True,True,both_correct
96,1,1,1,True,True,both_correct
97,1,1,1,True,True,both_correct
98,1,1,1,True,True,both_correct
99,1,2,1,False,True,other_only_correct
100,1,1,1,True,True,both_correct
101,1,1,1,True,True,both_correct
102,1,1,1,True,True,both_correct
103,1,1,1,True,True,both_correct
104,1,1,1,True,True,both_correct
105,1,1,1,True,True,both_correct
106,1,1,1,True,True,both_correct
107,1,1,1,True,True,both_correct
108,1,1,1,True,True,both_correct
109,1,2,1,False,True,other_only_correct
110,1,1,1,True,True,both_correct
111,1,2,2,False,False,both_wrong
112,1,1,1,True,True,both_correct
113,1,1,1,True,True,both_correct
114,1,2,1,False,True,other_only_correct
115,1,1,1,True,True,both_correct
116,1,1,1,True,True,both_correct
117,1,1,1,True,True,both_correct
118,1,1,1,True,True,both_correct
119,1,1,1,True,True,both_correct
120,1,2,1,False,True,other_only_correct
121,1,1,1,True,True,both_correct
122,1,1,1,True,True,both_correct
123,1,1,1,True,True,both_correct
124,1,1,1,True,True,both_correct
125,1,2,1,False,True,other_only_correct
126,1,1,1,True,True,both_correct
127,1,1,1,True,True,both_correct
128,1,1,1,True,True,both_correct
129,1,1,1,True,True,both_correct
130,1,1,1,True,True,both_correct
131,1,1,1,True,True,both_correct
132,1,1,1,True,True,both_correct
133,1,1,1,True,True,both_correct
134,1,1,1,True,True,both_correct
135,1,1,1,True,True,both_correct
136,1,1,1,True,True,both_correct
137,1,1,1,True,True,both_correct
138,1,1,1,True,True,both_correct
139,1,1,1,True,True,both_correct
140,1,1,1,True,True,both_correct
141,1,1,1,True,True,both_correct
142,1,1,1,True,True,both_correct
143,1,1,1,True,True,both_correct
144,1,1,1,True,True,both_correct
145,1,2,1,False,True,other_only_correct
146,1,1,1,True,True,both_correct
147,1,1,1,True,True,both_correct
148,1,1,1,True,True,both_correct
149,1,1,1,True,True,both_correct
150,1,1,1,True,True,both_correct
151,1,1,1,True,True,both_correct
152,1,1,1,True,True,both_correct
153,1,1,1,True,True,both_correct
154,1,1,1,True,True,both_correct
155,1,1,1,True,True,both_correct
156,1,1,1,True,True,both_correct
157,1,1,1,True,True,both_correct
158,1,2,2,False,False,both_wrong
159,1,1,1,True,True,both_correct
160,1,1,1,True,True,both_correct
161,1,1,1,True,True,both_correct
162,1,1,1,True,True,both_correct
163,1,1,1,True,True,both_correct
164,1,1,1,True,True,both_correct
165,1,1,1,True,True,both_correct
166,1,1,1,True,True,both_correct
167,1,1,1,True,True,both_correct
168,1,2,2,False,False,both_wrong
169,1,2,1,False,True,other_only_correct
170,1,1,1,True,True,both_correct
171,1,1,1,True,True,both_correct
172,1,1,1,True,True,both_correct
173,1,1,1,True,True,both_correct
174,1,1,1,True,True,both_correct
175,1,1,1,True,True,both_correct
176,1,1,1,True,True,both_correct
177,1,1,1,True,True,both_correct
178,1,1,1,True,True,both_correct
179,1,1,1,True,True,both_correct
180,1,1,1,True,True,both_correct
181,1,1,1,True,True,both_correct
182,1,1,1,True,True,both_correct
183,1,1,2,True,False,model_only_correct
184,1,1,1,True,True,both_correct
185,1,1,1,True,True,both_correct
186,1,1,2,True,False,model_only_correct
187,1,1,1,True,True,both_correct
188,1,1,1,True,True,both_correct
189,1,1,1,True,True,both_correct
190,1,1,1,True,True,both_correct
191,1,1,1,True,True,both_correct
192,1,1,1,True,True,both_correct
193,1,2,1,False,True,other_only_correct
194,1,1,1,True,True,both_correct
195,1,1,1,True,True,both_correct
196,1,1,1,True,True,both_correct
197,1,1,2,True,False,model_only_correct
198,1,1,1,True,True,both_correct
199,1,1,1,True,True,both_correct
200,1,1,1,True,True,both_correct
201,1,1,1,True,True,both_correct
202,1,1,1,True,True,both_correct
203,1,1,1,True,True,both_correct
204,1,1,1,True,True,both_correct
205,1,1,1,True,True,both_correct
206,1,1,1,True,True,both_correct
207,1,2,1,False,True,other_only_correct
208,1,1,1,True,True,both_correct
209,1,1,1,True,True,both_correct
210,1,1,1,True,True,both_correct
211,1,1,1,True,True,both_correct
212,1,1,1,True,True,both_correct
213,1,1,1,True,True,both_correct
214,1,1,1,True,True,both_correct
215,1,1,1,True,True,both_correct
216,1,1,1,True,True,both_correct
217,1,1,1,True,True,both_correct
218,1,1,1,True,True,both_correct
219,1,1,1,True,True,both_correct
220,1,1,1,True,True,both_correct
221,1,1,1,True,True,both_correct
222,1,1,1,True,True,both_correct
223,1,1,1,True,True,both_correct
224,1,1,1,True,True,both_correct
225,1,1,1,True,True,both_correct
226,1,1,2,True,False,model_only_correct
227,1,2,2,False,False,both_wrong
228,1,1,1,True,True,both_correct
229,1,1,1,True,True,both_correct
230,1,1,1,True,True,both_correct
231,1,1,1,True,True,both_correct
232,1,1,1,True,True,both_correct
233,1,1,1,True,True,both_correct
234,1,1,2,True,False,model_only_correct
235,1,1,1,True,True,both_correct
236,1,1,1,True,True,both_correct
237,1,1,1,True,True,both_correct
238,1,1,1,True,True,both_correct
239,1,1,1,True,True,both_correct
240,1,1,1,True,True,both_correct
241,1,1,1,True,True,both_correct
242,1,1,1,True,True,both_correct
243,1,1,1,True,True,both_correct
244,1,2,2,False,False,both_wrong
245,1,1,2,True,False,model_only_correct
246,1,1,1,True,True,both_correct
247,1,1,1,True,True,both_correct
248,1,2,2,False,False,both_wrong
249,1,1,1,True,True,both_correct
250,1,1,1,True,True,both_correct
251,1,1,1,True,True,both_correct
252,1,1,1,True,True,both_correct
253,1,1,1,True,True,both_correct
254,1,1,1,True,True,both_correct
255,1,1,1,True,True,both_correct
256,1,1,1,True,True,both_correct
257,1,1,1,True,True,both_correct
258,1,1,1,True,True,both_correct
259,1,1,2,True,False,model_only_correct
260,1,1,1,True,True,both_correct
261,1,1,1,True,True,both_correct
262,1,1,1,True,True,both_correct
263,1,1,1,True,True,both_correct
264,1,1,1,True,True,both_correct
265,1,1,1,True,True,both_correct
266,1,1,1,True,True,both_correct
267,1,1,1,True,True,both_correct
268,1,1,1,True,True,both_correct
269,1,1,1,True,True,both_correct
270,1,2,1,False,True,other_only_correct
271,1,1,1,True,True,both_correct
272,1,2,2,False,False,both_wrong
273,1,1,2,True,False,model_only_correct
274,1,1,1,True,True,both_correct
275,1,1,1,True,True,both_correct
276,1,1,1,True,True,both_correct
277,1,1,1,True,True,both_correct
278,1,1,1,True,True,both_correct
279,1,1,1,True,True,both_correct
280,1,1,1,True,True,both_correct
281,2,2,2,True,True,both_correct
282,2,2,2,True,True,both_correct
283,2,2,2,True,True,both_correct
284,2,2,2,True,True,both_correct
285,2,2,2,True,True,both_correct
286,2,2,2,True,True,both_correct
287,2,2,2,True,True,both_correct
288,2,2,2,True,True,both_correct
289,2,1,2,False,True,other_only_correct
290,2,2,2,True,True,both_correct
291,2,1,2,False,True,other_only_correct
292,2,2,2,True,True,both_correct
